Country,Date Start,Keywords
Denmark,2020-03-13,"general nonessential business suspension, mandated remote work, remote work"
Cyprus,2020-03-09,"case reporting, first case"
Croatia,2020-02-25,"case reporting, first case"
Bulgaria,2020-03-10,"public hygiene, public transport cleaning"
Finland,2020-03-16,"school closure, university closure"
Finland,2020-03-16,"public announcement, special management arrangements"
Finland,2020-01-27,outbound travel warning
Estonia,2020-03-17,international travel ban - all countries
Estonia,2020-03-13,international traveller screening - risk countries
Estonia,2020-03-13,"school closure, university closure"
Estonia,2020-03-13,"outdoor gatherings banned, sports cancellation"
Finland,2020-01-28,"case reporting, first case, traveller testing"
Finland,2020-01-27,"general nonessential business suspension, outbound travel warning"
Estonia,2020-03-13,"public announcement, special management arrangements"
Georgia,2020-02-26,"case reporting, first case"
Finland,2020-03-16,international traveller quarantine - all countries
Finland,2020-03-16,"isolation advice to elderly, outdoor gatherings banned"
Finland,2020-03-16,treatment capacity
Finland,2020-03-16,hospital specialisation
Finland,2020-03-16,limited nonessential business suspension
Georgia,2020-01-27,international travel ban - risk countries
Georgia,2020-01-27,international traveller screening - risk countries
Georgia,2020-01-27,international travel ban - risk countries
Finland,2020-03-16,treatment capacity
France,2020-03-15,"outdoor gatherings banned, social distancing"
Hungary,2020-03-17,"sports cancellation, very large event cancellation or postponement"
Hungary,2020-03-07,cultural activity limitation
France,2020-03-16,international traveller screening - risk countries
France,2020-03-17,"blanket isolation - no symptoms, compulsory isolation"
France,2020-03-15,"public announcement, public transport limited"
France,2020-03-16,"army deployed, hospital specialisation, treatment capacity"
Hungary,2020-03-06,international travel ban - risk countries
Spain,2020-03-17,international travel ban - all countries
Hungary,2020-03-11,"public announcement, special management arrangements, state of emergency"
Hungary,2020-03-07,"hospital construction, treatment capacity"
Hungary,2020-03-09,international travel ban - risk countries
Hungary,2020-01-27,international traveller quarantine - risk countries
Hungary,2020-03-11,"public hygiene, public transport cleaning"
Hungary,2020-03-16,"nursery school closure, school closure"
Hungary,2020-03-08,visiting in hospital banned
Hungary,2020-03-13,"public hygiene, public transport limited"
Hungary,2020-03-07,very large event cancellation or postponement
Hungary,2020-03-16,"limited nonessential business suspension, sports cancellation"
Estonia,2020-02-27,"case reporting, first case"
Hungary,2020-03-17,international travel ban - all countries
Hungary,2020-03-16,public transport limited
Hungary,2020-03-16,looking for children
Latvia,2020-03-14,outdoor gatherings banned
Latvia,2020-03-13,"remote schooling, school closure, university closure"
Lithuania,2020-03-12,outdoor gatherings banned
Luxembourg,2020-03-16,"nursery school closure, school closure, university closure"
Lithuania,2020-03-16,outdoor gatherings banned
Lithuania,2020-03-16,international travel ban - all countries
Lithuania,2020-03-12,"nursery school closure, school closure, university closure"
Greece,2020-03-09,"social distancing, sports cancellation"
Moldova,2020-03-11,"nursery school closure, school closure, university closure"
Malta,2020-03-13,"nursery school closure, school closure, university closure"
Monaco,2020-03-16,"nursery school closure, school closure, university closure"
Greece,2020-02-26,"case reporting, first case"
Luxembourg,2020-03-13,outdoor gatherings banned
Georgia,2020-03-16,international travel ban - all countries
Greece,2020-03-09,activity cancellation - other
Greece,2020-03-09,school closure
Greece,2020-03-13,hygiene enforcement
Malta,2020-03-17,limited nonessential business suspension
Moldova,2020-03-17,"domestic travel ban, international travel ban - all countries"
Georgia,2020-03-16,information sms
Georgia,2020-03-16,outdoor gatherings banned
Moldova,2020-03-17,general nonessential business suspension
Netherlands,2020-03-12,outdoor gatherings banned
Netherlands,2020-02-27,"case reporting, first case"
Greece,2020-03-12,"limited nonessential business suspension, sports cancellation"
Greece,2020-03-13,general nonessential business suspension
Iceland,2020-02-28,"case reporting, first case"
Netherlands,2020-03-13,international travel ban - risk countries
Greece,2020-03-16,cluster isolation - no symptoms
Iceland,2020-03-02,outbound travel warning
Iceland,2020-03-16,activity cancellation - other
Iceland,2020-03-16,"school closure, university closure"
Guernsey,2020-03-09,"case reporting, first case"
Greece,2020-03-16,international travel ban - risk countries
Greece,2020-03-14,international travel ban - risk countries
Greece,2020-03-14,sports cancellation
Greece,2020-03-10,"school closure, university closure"
Netherlands,2020-03-15,"nursery school closure, school closure"
Netherlands,2020-03-12,university closure
Macedonia,2020-02-26,"case reporting, first case"
Macedonia,2020-03-13,international travel ban - risk countries
Latvia,2020-03-13,outdoor gatherings banned
Netherlands,2020-03-15,limited nonessential business suspension
Iceland,2020-03-13,public announcement
Iceland,2020-03-16,"school closure, university closure"
Iceland,2020-03-13,outdoor gatherings banned
Portugal,2020-03-14,general nonessential business suspension
Macedonia,2020-03-10,"school closure, university closure"
Latvia,2020-03-02,"case reporting, first case"
Iceland,2020-03-13,social distancing
Ireland,2020-02-29,"case reporting, first case"
Lithuania,2020-02-28,"case reporting, first case"
Lithuania,2020-03-12,"closure nonessential stores, limited nonessential business suspension, social distancing"
Ireland,2020-03-01,cohort isolation - no symptoms
Ireland,2020-03-10,remote schooling
Ireland,2020-03-09,sports cancellation
Vatican City,2020-03-10,"blanket isolation - no symptoms, religious activity limitations, social distancing"
Ireland,2020-03-15,limited nonessential business suspension
Ireland,2020-03-10,international travel ban - risk countries
Ireland,2020-03-12,"outdoor gatherings banned, sports cancellation"
Ireland,2020-03-07,very large event cancellation or postponement
Ireland,2020-03-12,"nursery school closure, school closure, university closure"
Ireland,2020-03-15,"compulsory isolation, social distancing"
Jersey,2020-03-10,"case reporting, first case"
Kosovo,2020-03-13,"case reporting, first case"
Kazakhstan,2020-03-13,"case reporting, first case"
Kosovo,2020-03-15,"public announcement, special management arrangements"
Kosovo,2020-03-13,domestic travel ban
Kazakhstan,2020-03-17,very large event cancellation or postponement
Poland,2020-02-19,contacts traced total
Turkey,2020-03-17,limited nonessential business suspension
Turkey,2020-03-16,sports cancellation
US: Florida,2020-03-10,"remote schooling, university closure"
Ukraine,2020-03-17,public transport stopped
Turkey,2020-03-16,religious activity cancellation
Turkey,2020-03-16,"nursery school closure, school closure"
Turkey,2020-03-16,university closure
Ukraine,2020-03-17,limited nonessential business suspension
Portugal,2020-03-14,sports cancellation
Poland,2020-03-12,"nursery school closure, school closure, university closure"
Ukraine,2020-03-12,"nursery school closure, school closure, university closure"
